FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.1859,POINT (559519.598549774 5716998.56064653),POINT (4915400 40244200),COLPT,HWS_DONAR_SGG,2021-03-05T18:42:49.817
locaties.1860,POINT (552207.91418607 5724828.43167985),POINT (4210000 41051000),HAMMWT,HWS_DONAR_SGG,2021-03-05T18:42:49.998
locaties.1861,POINT (575028.100706533 5708762.37742599),POINT (6439000 39370000),GORHK,HWS_DONAR_SGG,2021-03-05T18:42:52.176
locaties.1862,POINT (602213.12423072 5816286.0273423),POINT (9510000 50030000),IJMDN3,HWS_DONAR_SGG,2021-03-05T18:42:52.36
locaties.1863,POINT (569642.756337592 5708586.22802513),POINT (5900000 39370000),WEMDGODSZ,HWS_DONAR_SGG,2021-03-05T18:42:52.506
locaties.1864,POINT (559781.147350052 5710413.97147163),POINT (4920000 39585000),ZANDKSBNN,HWS_DONAR_SGG,2021-03-05T18:42:54.884
locaties.1865,POINT (555864.397523466 5710905.89001602),POINT (4530000 39647000),KORTGNE,HWS_DONAR_SGG,2021-03-05T18:42:55.071
locaties.1866,POINT (552839.991507294 5711637.02639999),POINT (4230000 39730000),GEERSDK,HWS_DONAR_SGG,2021-03-05T18:42:55.253
locaties.1867,POINT (548007.05750152 5708038.33272098),POINT (3735000 39386000),PIET,HWS_DONAR_SGG,2021-03-05T18:42:55.433
locaties.1868,POINT (546669.450455351 5711014.96554369),POINT (3611000 39688000),VEERHVMD,HWS_DONAR_SGG,2021-03-05T18:42:55.613
locaties.1869,POINT (543989.800553249 5714047.64994919),POINT (3353000 40000000),VEERSGDM,HWS_DONAR_SGG,2021-03-05T18:42:55.79
locaties.1870,POINT (613758.414275367 5855531.49526271),POINT (10794000 53915000),CALLOBSD,HWS_DONAR_SGG,2021-03-05T18:42:56.414
locaties.1871,POINT (763553.231682433 5916328.53115117),POINT (25967000 59491200),BOCHTVWTZD,HWS_DONAR_SGG,2021-03-05T18:43:39.75
