date,STN,temp_gem,temp_max,temp_min,vocht_gem,vocht_max,vocht_min,neerslag_som,neerslag_max,wind_gem,wind_max,wind_min,brand,sum_brand,Saturated Vapor Pressure (Es),Vapor Pressure (E),VPD,HDWI,HDWI_gust,temp_gem_som_3,temp_gem_som_7,vocht_gem_som_3,vocht_gem_som_7,neerslag_som_3,neerslag_som_7
2019-07-17 00:00:00+02:00,290,17.4,23.7,10.6,73.0,97.0,49.0,0.025,0.025,1.3,8.0,0.0,1,1,19.827800237545755,14.4742941734084,5.353506064137354,6.959557883378561,42.82804851309884,47.800000000000026,113.0,226.0,556.0,0.075,6.374999999999961
2022-09-06 00:00:00+02:00,290,22.3,29.9,16.0,60.0,90.0,30.0,1.6,1.1,2.2,7.0,1.0,0,0,26.860247103152616,16.11614826189157,10.744098841261046,23.6370174507743,75.20869188882732,66.10000000000002,141.70000000000002,171.0,366.0,1.6500000000000092,1.7499999999999556
2022-06-20 00:00:00+02:00,290,14.4,20.2,5.7,70.0,98.0,44.0,0.025,0.025,3.3,10.0,1.0,1,2,16.371286578410853,11.459900604887595,4.911385973523256,16.207573712626743,49.11385973523256,51.80000000000002,121.5,207.0,450.0,3.850000000000007,3.9499999999999553
2021-02-23 00:00:00+01:00,290,14.0,18.3,7.4,66.0,79.0,58.0,0.025,0.025,4.7,13.0,1.0,0,0,15.953056526933793,10.529017307776304,5.424039219157489,25.4929843300402,70.51250984904736,37.10000000000002,73.60000000000001,189.0,504.0,0.075,6.424999999999956
2024-10-16 00:00:00+02:00,290,13.9,19.4,8.7,79.0,87.0,68.0,0.025,0.025,3.8,9.0,3.0,1,1,15.849979738077067,12.521483993080883,3.328495744996184,12.648283830985498,29.95646170496565,29.90000000000005,66.80000000000001,246.0,582.0,0.075,7.399999999999943
2021-05-17 00:00:00+02:00,290,11.1,15.0,7.8,89.0,96.0,73.0,7.1,2.5,3.1,9.0,1.0,0,0,13.19180188178848,11.740703674791748,1.4510982069967326,4.498404441689871,13.059883862970594,32.00000000000002,81.5,265.0,599.0,20.90000000000001,38.09999999999996
2024-06-06 00:00:00+02:00,290,12.1,18.8,3.8,67.0,98.0,39.0,0.025,0.025,2.3,9.0,0.0,0,0,14.09217415490297,9.441756683784993,4.650417471117979,10.695960183571351,41.85375724006181,41.60000000000005,101.6,211.0,534.0,1.525,3.1749999999999576
2020-09-22 00:00:00+02:00,290,13.8,24.2,5.3,77.0,99.0,39.0,0.025,0.025,0.8,5.0,0.0,1,3,15.747489491168896,12.125566908200051,3.621922582968846,2.897538066375077,18.10961291484423,42.800000000000026,101.7,208.0,470.0,0.075,0.175
2021-01-26 00:00:00+01:00,290,3.1,5.9,0.6,89.0,98.0,74.0,3.3,0.8,3.7,13.0,1.0,0,0,7.630064561227064,6.790757459492087,0.8393071017349767,3.105436276419414,10.910992322554698,5.600000000000021,28.500000000000007,266.0,588.0,5.800000000000007,18.14999999999996
2024-07-15 00:00:00+02:00,290,20.0,26.0,10.2,65.0,97.0,44.0,0.2,0.2,2.4,9.0,1.0,0,0,23.32596022097807,15.161874143635748,8.164086077342324,19.59380658562157,73.47677469608091,51.10000000000005,125.10000000000002,225.0,540.0,2.825,70.24999999999996
